[08/28 17:33:29 d2.utils.events]:  eta: 0:07:49  iter: 619  total_loss: 1.781  loss_cls: 0.8188  loss_box_reg: 0.5204  loss_mask: 0.2928  loss_rpn_cls: 0.05675  loss_rpn_loc: 0.1395  time: 0.1969  data_time: 0.0012  lr: 0.00015485  max_mem: 1980M
[08/28 17:33:33 d2.utils.events]:  eta: 0:07:45  iter: 639  total_loss: 1.704  loss_cls: 0.7373  loss_box_reg: 0.5206  loss_mask: 0.2442  loss_rpn_cls: 0.05573  loss_rpn_loc: 0.1346  time: 0.1970  data_time: 0.0015  lr: 0.00015984  max_mem: 1980M
[08/28 17:33:37 d2.utils.events]:  eta: 0:07:42  iter: 659  total_loss: 1.602  loss_cls: 0.7512  loss_box_reg: 0.491  loss_mask: 0.2587  loss_rpn_cls: 0.03238  loss_rpn_loc: 0.1273  time: 0.1971  data_time: 0.0014  lr: 0.00016484  max_mem: 1980M
[08/28 17:33:41 d2.utils.events]:  eta: 0:07:38  iter: 679  total_loss: 1.571  loss_cls: 0.6737  loss_box_reg: 0.4556  loss_mask: 0.2656  loss_rpn_cls: 0.05002  loss_rpn_loc: 0.1395  time: 0.1972  data_time: 0.0014  lr: 0.00016983  max_mem: 1980M
[08/28 17:33:45 d2.utils.events]:  eta: 0:07:34  iter: 699  total_loss: 1.629  loss_cls: 0.711  loss_box_reg: 0.4756  loss_mask: 0.2755  loss_rpn_cls: 0.0388  loss_rpn_loc: 0.1312  time: 0.1973  data_time: 0.0017  lr: 0.00017483  max_mem: 1980M
[08/28 17:33:49 d2.utils.events]:  eta: 0:07:30  iter: 719  total_loss: 1.488  loss_cls: 0.6673  loss_box_reg: 0.4221  loss_mask: 0.2539  loss_rpn_cls: 0.03553  loss_rpn_loc: 0.1239  time: 0.1974  data_time: 0.0012  lr: 0.00017982  max_mem: 1980M
[08/28 17:33:53 d2.utils.events]:  eta: 0:07:26  iter: 739  total_loss: 1.615  loss_cls: 0.7091  loss_box_reg: 0.4603  loss_mask: 0.2521  loss_rpn_cls: 0.02625  loss_rpn_loc: 0.1263  time: 0.1976  data_time: 0.0013  lr: 0.00018482  max_mem: 1980M
[08/28 17:33:57 d2.utils.events]:  eta: 0:07:23  iter: 759  total_loss: 1.533  loss_cls: 0.6747  loss_box_reg: 0.4912  loss_mask: 0.2313  loss_rpn_cls: 0.03447  loss_rpn_loc: 0.1284  time: 0.1978  data_time: 0.0013  lr: 0.00018981  max_mem: 1980M
[08/28 17:34:02 d2.utils.events]:  eta: 0:07:19  iter: 779  total_loss: 1.451  loss_cls: 0.6441  loss_box_reg: 0.4519  loss_mask: 0.2258  loss_rpn_cls: 0.04149  loss_rpn_loc: 0.1338  time: 0.1980  data_time: 0.0012  lr: 0.00019481  max_mem: 1980M
[08/28 17:34:06 d2.utils.events]:  eta: 0:07:15  iter: 799  total_loss: 1.563  loss_cls: 0.6713  loss_box_reg: 0.4757  loss_mask: 0.2444  loss_rpn_cls: 0.03887  loss_rpn_loc: 0.1298  time: 0.1982  data_time: 0.0013  lr: 0.0001998  max_mem: 1980M
[08/28 17:34:10 d2.utils.events]:  eta: 0:07:11  iter: 819  total_loss: 1.505  loss_cls: 0.6173  loss_box_reg: 0.4763  loss_mask: 0.2237  loss_rpn_cls: 0.03134  loss_rpn_loc: 0.1258  time: 0.1983  data_time: 0.0015  lr: 0.0002048  max_mem: 1980M
[08/28 17:34:14 d2.utils.events]:  eta: 0:07:08  iter: 839  total_loss: 1.485  loss_cls: 0.6515  loss_box_reg: 0.4295  loss_mask: 0.2337  loss_rpn_cls: 0.02721  loss_rpn_loc: 0.1213  time: 0.1985  data_time: 0.0013  lr: 0.00020979  max_mem: 1980M
[08/28 17:34:18 d2.utils.events]:  eta: 0:07:04  iter: 859  total_loss: 1.523  loss_cls: 0.6081  loss_box_reg: 0.4542  loss_mask: 0.248  loss_rpn_cls: 0.03577  loss_rpn_loc: 0.1279  time: 0.1986  data_time: 0.0014  lr: 0.00021479  max_mem: 1980M
[08/28 17:34:22 d2.utils.events]:  eta: 0:07:00  iter: 879  total_loss: 1.49  loss_cls: 0.6247  loss_box_reg: 0.447  loss_mask: 0.2217  loss_rpn_cls: 0.03362  loss_rpn_loc: 0.1305  time: 0.1987  data_time: 0.0014  lr: 0.00021978  max_mem: 1980M
[08/28 17:34:26 d2.utils.events]:  eta: 0:06:56  iter: 899  total_loss: 1.385  loss_cls: 0.5748  loss_box_reg: 0.4184  loss_mask: 0.2307  loss_rpn_cls: 0.02996  loss_rpn_loc: 0.1195  time: 0.1989  data_time: 0.0014  lr: 0.00022478  max_mem: 1980M
[08/28 17:34:30 d2.utils.events]:  eta: 0:06:52  iter: 919  total_loss: 1.457  loss_cls: 0.6114  loss_box_reg: 0.4398  loss_mask: 0.2259  loss_rpn_cls: 0.03164  loss_rpn_loc: 0.1254  time: 0.1990  data_time: 0.0014  lr: 0.00022977  max_mem: 1980M
[08/28 17:34:34 d2.utils.events]:  eta: 0:06:49  iter: 939  total_loss: 1.509  loss_cls: 0.6547  loss_box_reg: 0.4592  loss_mask: 0.2376  loss_rpn_cls: 0.03307  loss_rpn_loc: 0.1231  time: 0.1991  data_time: 0.0013  lr: 0.00023477  max_mem: 1980M
[08/28 17:34:38 d2.utils.events]:  eta: 0:06:45  iter: 959  total_loss: 1.439  loss_cls: 0.5914  loss_box_reg: 0.4181  loss_mask: 0.2187  loss_rpn_cls: 0.02859  loss_rpn_loc: 0.1187  time: 0.1993  data_time: 0.0014  lr: 0.00023976  max_mem: 1980M
[08/28 17:34:43 d2.utils.events]:  eta: 0:06:41  iter: 979  total_loss: 1.441  loss_cls: 0.5621  loss_box_reg: 0.4361  loss_mask: 0.2468  loss_rpn_cls: 0.02914  loss_rpn_loc: 0.1211  time: 0.1995  data_time: 0.0013  lr: 0.00024476  max_mem: 1980M
[08/28 17:34:47 d2.utils.events]:  eta: 0:06:37  iter: 999  total_loss: 1.343  loss_cls: 0.521  loss_box_reg: 0.4188  loss_mask: 0.2182  loss_rpn_cls: 0.03003  loss_rpn_loc: 0.1169  time: 0.1998  data_time: 0.0012  lr: 0.00024975  max_mem: 1980M
[08/28 17:34:51 d2.utils.events]:  eta: 0:06:33  iter: 1019  total_loss: 1.344  loss_cls: 0.5803  loss_box_reg: 0.3858  loss_mask: 0.2162  loss_rpn_cls: 0.02127  loss_rpn_loc: 0.1166  time: 0.2003  data_time: 0.0012  lr: 0.00025  max_mem: 1980M
[08/28 17:34:56 d2.utils.events]:  eta: 0:06:30  iter: 1039  total_loss: 1.292  loss_cls: 0.5097  loss_box_reg: 0.3885  loss_mask: 0.2  loss_rpn_cls: 0.0294  loss_rpn_loc: 0.1048  time: 0.2005  data_time: 0.0014  lr: 0.00025  max_mem: 1980M
[08/28 17:35:00 d2.utils.events]:  eta: 0:06:26  iter: 1059  total_loss: 1.253  loss_cls: 0.4922  loss_box_reg: 0.3719  loss_mask: 0.2058  loss_rpn_cls: 0.01515  loss_rpn_loc: 0.1039  time: 0.2008  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
[08/28 17:35:04 d2.utils.events]:  eta: 0:06:23  iter: 1079  total_loss: 1.284  loss_cls: 0.5427  loss_box_reg: 0.4036  loss_mask: 0.2178  loss_rpn_cls: 0.02322  loss_rpn_loc: 0.1134  time: 0.2011  data_time: 0.0012  lr: 0.00025  max_mem: 1980M
[08/28 17:35:08 d2.utils.events]:  eta: 0:06:20  iter: 1099  total_loss: 1.221  loss_cls: 0.5072  loss_box_reg: 0.3605  loss_mask: 0.2154  loss_rpn_cls: 0.0145  loss_rpn_loc: 0.1185  time: 0.2012  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
[08/28 17:35:13 d2.utils.events]:  eta: 0:06:17  iter: 1119  total_loss: 1.213  loss_cls: 0.4732  loss_box_reg: 0.3614  loss_mask: 0.2203  loss_rpn_cls: 0.02301  loss_rpn_loc: 0.1243  time: 0.2012  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
[08/28 17:35:17 d2.utils.events]:  eta: 0:06:13  iter: 1139  total_loss: 1.284  loss_cls: 0.5507  loss_box_reg: 0.3828  loss_mask: 0.2018  loss_rpn_cls: 0.02  loss_rpn_loc: 0.1159  time: 0.2013  data_time: 0.0012  lr: 0.00025  max_mem: 1980M
[08/28 17:35:21 d2.utils.events]:  eta: 0:06:10  iter: 1159  total_loss: 1.198  loss_cls: 0.4781  loss_box_reg: 0.3622  loss_mask: 0.2027  loss_rpn_cls: 0.0187  loss_rpn_loc: 0.109  time: 0.2014  data_time: 0.0015  lr: 0.00025  max_mem: 1980M
[08/28 17:35:25 d2.utils.events]:  eta: 0:06:08  iter: 1179  total_loss: 1.07  loss_cls: 0.4393  loss_box_reg: 0.3272  loss_mask: 0.1947  loss_rpn_cls: 0.01457  loss_rpn_loc: 0.1048  time: 0.2014  data_time: 0.0016  lr: 0.00025  max_mem: 1980M
[08/28 17:35:29 d2.utils.events]:  eta: 0:06:04  iter: 1199  total_loss: 1.075  loss_cls: 0.3856  loss_box_reg: 0.3481  loss_mask: 0.1969  loss_rpn_cls: 0.0159  loss_rpn_loc: 0.1058  time: 0.2015  data_time: 0.0015  lr: 0.00025  max_mem: 1980M
[08/28 17:35:33 d2.utils.events]:  eta: 0:06:01  iter: 1219  total_loss: 1.074  loss_cls: 0.4669  loss_box_reg: 0.3134  loss_mask: 0.1946  loss_rpn_cls: 0.01824  loss_rpn_loc: 0.1091  time: 0.2016  data_time: 0.0011  lr: 0.00025  max_mem: 1980M
[08/28 17:35:37 d2.utils.events]:  eta: 0:05:57  iter: 1239  total_loss: 1.122  loss_cls: 0.4697  loss_box_reg: 0.3278  loss_mask: 0.2044  loss_rpn_cls: 0.01796  loss_rpn_loc: 0.09557  time: 0.2017  data_time: 0.0012  lr: 0.00025  max_mem: 1980M
[08/28 17:35:41 d2.utils.events]:  eta: 0:05:54  iter: 1259  total_loss: 1.07  loss_cls: 0.4008  loss_box_reg: 0.3084  loss_mask: 0.2155  loss_rpn_cls: 0.01197  loss_rpn_loc: 0.1015  time: 0.2018  data_time: 0.0014  lr: 0.00025  max_mem: 1980M
[08/28 17:35:46 d2.utils.events]:  eta: 0:05:50  iter: 1279  total_loss: 1.04  loss_cls: 0.4118  loss_box_reg: 0.3075  loss_mask: 0.1817  loss_rpn_cls: 0.008762  loss_rpn_loc: 0.0938  time: 0.2018  data_time: 0.0015  lr: 0.00025  max_mem: 1980M
[08/28 17:35:50 d2.utils.events]:  eta: 0:05:46  iter: 1299  total_loss: 1.057  loss_cls: 0.3711  loss_box_reg: 0.3152  loss_mask: 0.1954  loss_rpn_cls: 0.01331  loss_rpn_loc: 0.1143  time: 0.2019  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
[08/28 17:35:54 d2.utils.events]:  eta: 0:05:42  iter: 1319  total_loss: 1.03  loss_cls: 0.3779  loss_box_reg: 0.3033  loss_mask: 0.1909  loss_rpn_cls: 0.01231  loss_rpn_loc: 0.1041  time: 0.2019  data_time: 0.0015  lr: 0.00025  max_mem: 1980M
[08/28 17:35:58 d2.utils.events]:  eta: 0:05:38  iter: 1339  total_loss: 1.115  loss_cls: 0.4032  loss_box_reg: 0.3653  loss_mask: 0.2081  loss_rpn_cls: 0.01286  loss_rpn_loc: 0.1057  time: 0.2020  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
[08/28 17:36:02 d2.utils.events]:  eta: 0:05:35  iter: 1359  total_loss: 1.06  loss_cls: 0.3817  loss_box_reg: 0.3388  loss_mask: 0.2118  loss_rpn_cls: 0.008289  loss_rpn_loc: 0.1038  time: 0.2021  data_time: 0.0015  lr: 0.00025  max_mem: 1980M
[08/28 17:36:06 d2.utils.events]:  eta: 0:05:31  iter: 1379  total_loss: 1.03  loss_cls: 0.3575  loss_box_reg: 0.3281  loss_mask: 0.1849  loss_rpn_cls: 0.01484  loss_rpn_loc: 0.09924  time: 0.2021  data_time: 0.0014  lr: 0.00025  max_mem: 1980M
[08/28 17:36:10 d2.utils.events]:  eta: 0:05:27  iter: 1399  total_loss: 1.038  loss_cls: 0.3792  loss_box_reg: 0.309  loss_mask: 0.1943  loss_rpn_cls: 0.009796  loss_rpn_loc: 0.09701  time: 0.2022  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
[08/28 17:36:15 d2.utils.events]:  eta: 0:05:23  iter: 1419  total_loss: 1.043  loss_cls: 0.3475  loss_box_reg: 0.3065  loss_mask: 0.2167  loss_rpn_cls: 0.01311  loss_rpn_loc: 0.09445  time: 0.2023  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
[08/28 17:36:19 d2.utils.events]:  eta: 0:05:19  iter: 1439  total_loss: 1.036  loss_cls: 0.3668  loss_box_reg: 0.3072  loss_mask: 0.203  loss_rpn_cls: 0.01126  loss_rpn_loc: 0.1106  time: 0.2024  data_time: 0.0013  lr: 0.00025  max_mem: 1980M
